Day,ModelRadius,ModelArea,ModelGrayMean,ModelIntDen,ModelCircularity,ModelFeret,ModelPerimeter,ModelTotalH,TouchesBoundary
8.8,302.3582950377668,287206.09238432336,76.32261129114924,21920318.949498612,0.8942383692117168,610.053732487318,2008.9776534434927,141994.26843349848,False
8.9,302.8355775685336,288113.53659406846,76.15319591672046,21940766.598507307,0.897063766902749,610.5741293803151,2008.9776534434927,142337.46623080125,False
9.0,303.4073255493576,289202.4696457626,75.96688480446666,21969810.69674691,0.8905324875287226,611.3910009962932,2020.1380409707572,142683.5653784614,False
9.1,304.0730061110075,290472.89153940574,75.7755059038251,22010730.30774539,0.894444459547989,612.0585395924313,2020.1380409707572,142974.18331767165,False
9.2,304.35785208083274,291017.3580652528,75.65296609605198,22016326.32307319,0.8961210189848178,613.0214787107288,2020.138040970757,143325.55047952879,False
9.3,304.92674575872246,292106.2911169469,75.47526364072709,22046799.333166547,0.8994741378584744,613.8350934831016,2020.1380409707572,143679.76417683277,False
9.4,305.2107949546966,292650.757642794,75.35716764024257,22053332.203732025,0.9011506972953033,615.0166117488212,2020.138040970757,144036.80605596452,False
9.5,305.4945800415306,293195.224168641,75.24090380354836,22060273.657332517,0.9028272567321317,616.3431124824399,2020.138040970757,144396.65825608652,False
9.6,306.06136082572993,294284.15722033515,75.08014256662034,22094896.47920048,0.9061803756057887,617.8136618140065,2020.138040970757,144698.6693075703,False
9.7,306.4386322920061,295010.1125881312,74.94929633423972,22110800.34996527,0.8943856708669609,619.2074488590615,2035.9212123731534,145063.6289505384,False
9.8,307.0507097582646,296189.7900607998,74.77462515395123,22147480.526223816,0.8881976884647498,619.4272338099697,2047.0815999004171,145431.3508572123,False
9.9,307.5207095890879,297097.23427054496,74.63023018192482,22172434.980024014,0.8909188823632329,619.6469408045152,2047.081599900417,145801.81892289125,False
10.0,307.9899921901656,298004.67848029005,74.48819333671075,22197830.105884172,0.8936400762617154,620.3787354980338,2047.081599900417,146175.01746867658,False
10.1,308.458560835034,298912.12269003515,74.35673164830622,22226128.49328853,0.8963612701601981,621.1827139327519,2047.081599900417,146488.0910147447,False
10.2,308.92641877240357,299819.56689978024,74.21904694000506,22252322.509266775,0.8990824640586806,622.2773741696517,2047.0815999004171,146866.25608250403,False
10.3,309.3935692264216,300727.01110952534,74.08354664079332,22278923.55367889,0.9018036579571633,623.2973225492951,2047.0815999004171,147247.10941173905,False
10.4,309.67352123896194,301271.4776353724,73.98519836227865,22289630.033749823,0.9034363742962531,624.4609379558597,2047.081599900417,147630.6368439284,False
10.5,310.1395463652772,302178.9218451175,73.86086079028854,22319195.280161705,0.8963573098393611,625.7674189427356,2058.2419874276816,147952.2757958879,False
10.6,310.88373350925787,303630.8325807096,73.67960396746527,22371399.496858433,0.9006641317484991,627.2158727501588,2058.2419874276816,148340.6701957752,False
10.7,310.97663168360367,303812.3214226587,73.62109394974105,22366995.458546482,0.9012024844871416,627.2158727501588,2058.2419874276816,148731.70055380362,False
